"maille";"LAT";"LON";"ALT"
1;51.1212;2.62204;3
2;51.0497;2.16654;1
3;51.0498;2.28031;2
4;51.0498;2.39409;3
5;51.0497;2.50786;1
6;51.0495;2.62163;1
7;51.0492;2.7354;1
8;51.0488;2.84917;2
9;51.0483;2.96294;11
10;51.0477;3.0767;18
11;51.0469;3.19046;26
12;50.9771;1.82597;2
13;50.9775;1.93957;2
14;50.9778;2.05318;2
15;50.978;2.16679;2
16;50.9781;2.2804;1
17;50.9781;2.394;2
18;50.978;2.50761;4
19;50.9778;2.62122;8
20;50.9775;2.73483;3
21;50.9771;2.84843;4
22;50.9766;2.96203;19
23;50.9759;3.07563;24
24;50.9752;3.18923;25
25;50.9048;1.71327;66
26;50.9053;1.82671;20
27;50.9058;1.94015;1
28;50.9061;2.05359;2
29;50.9063;2.16703;1
30;50.9064;2.28048;4
31;50.9064;2.39392;21
32;50.9063;2.50737;15
33;50.9061;2.62081;10
34;50.9058;2.73425;12
35;50.9053;2.84769;10
36;50.9048;2.96113;23
37;50.8325;1.6009;32
38;50.8331;1.71417;55
39;50.8336;1.82744;93
40;50.834;1.94072;61
41;50.8343;2.054;35
42;50.8345;2.16728;21
43;50.8346;2.28056;28
44;50.8346;2.39384;29
45;50.8345;2.50712;35
46;50.8343;2.6204;28
47;50.834;2.73368;32
48;50.8336;2.84696;25
49;50.8331;2.96023;37
50;50.7607;1.60196;29
51;50.7614;1.71507;58
52;50.7619;1.82818;102
53;50.7623;1.94129;105
54;50.7626;2.05441;132
55;50.7628;2.16752;63
56;50.7629;2.28064;12
57;50.7629;2.39376;32
58;50.7628;2.50688;41
59;50.7626;2.61999;45
60;50.7623;2.73311;53
61;50.7619;2.84622;44
62;50.7614;2.95933;22
63;50.7607;3.07244;23
64;50.76;3.18555;35
65;50.689;1.60301;53
66;50.6896;1.71596;69
67;50.6901;1.82891;86
68;50.6905;1.94186;151
69;50.6908;2.05481;130
70;50.691;2.16777;88
71;50.6912;2.28072;52
72;50.6912;2.39368;36
73;50.691;2.50663;32
74;50.6908;2.61959;20
75;50.6905;2.73254;17
76;50.6901;2.84549;17
77;50.6896;2.95844;20
78;50.689;3.07139;24
79;50.6883;3.18433;34
80;50.6874;3.29727;20
81;50.6172;1.60407;45
82;50.6178;1.71685;87
83;50.6184;1.82964;145
84;50.6188;1.94243;155
85;50.6191;2.05522;144
86;50.6193;2.16801;107
87;50.6194;2.2808;68
88;50.6194;2.3936;31
89;50.6193;2.50639;19
90;50.6191;2.61918;17
91;50.6188;2.73197;17
92;50.6184;2.84476;21
93;50.6178;2.95755;28
94;50.6172;3.07033;35
95;50.6165;3.18312;34
96;50.6157;3.29589;38
97;50.5455;1.60512;39
98;50.5461;1.71774;71
99;50.5466;1.83037;94
100;50.547;1.94299;145
101;50.5473;2.05562;148
102;50.5475;2.16825;122
103;50.5476;2.28088;139
104;50.5476;2.39352;85
105;50.5475;2.50615;38
106;50.5473;2.61878;26
107;50.547;2.73141;20
108;50.5466;2.84403;25
